year.id,Id
year.display-label,Year
hisp.id,Id
hisp.display-label,Hispanic Origin
GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
totpop_sex0_age999,Total; Both Sexes; Total
wa_sex0_age999,Race Alone - White; Both Sexes; Total
ba_sex0_age999,Race Alone - Black or African American; Both Sexes; Total
ia_sex0_age999,Race Alone - American Indian and Alaska Native; Both Sexes; Total
aa_sex0_age999,Race Alone - Asian; Both Sexes; Total
na_sex0_age999,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; Total
tom_sex0_age999,Two or More Races; Both Sexes; Total
totpop_sex0_age0to4,Total; Both Sexes; Under 5 years
wa_sex0_age0to4,Race Alone - White; Both Sexes; Under 5 years
ba_sex0_age0to4,Race Alone - Black or African American; Both Sexes; Under 5 years
ia_sex0_age0to4,Race Alone - American Indian and Alaska Native; Both Sexes; Under 5 years
aa_sex0_age0to4,Race Alone - Asian; Both Sexes; Under 5 years
na_sex0_age0to4,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; Under 5 years
tom_sex0_age0to4,Two or More Races; Both Sexes; Under 5 years
totpop_sex0_age5to9,Total; Both Sexes; 5 to 9 years
wa_sex0_age5to9,Race Alone - White; Both Sexes; 5 to 9 years
ba_sex0_age5to9,Race Alone - Black or African American; Both Sexes; 5 to 9 years
ia_sex0_age5to9,Race Alone - American Indian and Alaska Native; Both Sexes; 5 to 9 years
aa_sex0_age5to9,Race Alone - Asian; Both Sexes; 5 to 9 years
na_sex0_age5to9,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; 5 to 9 years
tom_sex0_age5to9,Two or More Races; Both Sexes; 5 to 9 years
totpop_sex0_age10to14,Total; Both Sexes; 10 to 14 years
wa_sex0_age10to14,Race Alone - White; Both Sexes; 10 to 14 years
ba_sex0_age10to14,Race Alone - Black or African American; Both Sexes; 10 to 14 years
ia_sex0_age10to14,Race Alone - American Indian and Alaska Native; Both Sexes; 10 to 14 years
aa_sex0_age10to14,Race Alone - Asian; Both Sexes; 10 to 14 years
na_sex0_age10to14,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; 10 to 14 years
tom_sex0_age10to14,Two or More Races; Both Sexes; 10 to 14 years
totpop_sex0_age15to19,Total; Both Sexes; 15 to 19 years
wa_sex0_age15to19,Race Alone - White; Both Sexes; 15 to 19 years
ba_sex0_age15to19,Race Alone - Black or African American; Both Sexes; 15 to 19 years
ia_sex0_age15to19,Race Alone - American Indian and Alaska Native; Both Sexes; 15 to 19 years
aa_sex0_age15to19,Race Alone - Asian; Both Sexes; 15 to 19 years
na_sex0_age15to19,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; 15 to 19 years
tom_sex0_age15to19,Two or More Races; Both Sexes; 15 to 19 years
totpop_sex0_age20to24,Total; Both Sexes; 20 to 24 years
wa_sex0_age20to24,Race Alone - White; Both Sexes; 20 to 24 years
ba_sex0_age20to24,Race Alone - Black or African American; Both Sexes; 20 to 24 years
ia_sex0_age20to24,Race Alone - American Indian and Alaska Native; Both Sexes; 20 to 24 years
aa_sex0_age20to24,Race Alone - Asian; Both Sexes; 20 to 24 years
na_sex0_age20to24,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; 20 to 24 years
tom_sex0_age20to24,Two or More Races; Both Sexes; 20 to 24 years
totpop_sex0_age25to29,Total; Both Sexes; 25 to 29 years
wa_sex0_age25to29,Race Alone - White; Both Sexes; 25 to 29 years
ba_sex0_age25to29,Race Alone - Black or African American; Both Sexes; 25 to 29 years
ia_sex0_age25to29,Race Alone - American Indian and Alaska Native; Both Sexes; 25 to 29 years
aa_sex0_age25to29,Race Alone - Asian; Both Sexes; 25 to 29 years
na_sex0_age25to29,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; 25 to 29 years
tom_sex0_age25to29,Two or More Races; Both Sexes; 25 to 29 years
totpop_sex0_age30to34,Total; Both Sexes; 30 to 34 years
wa_sex0_age30to34,Race Alone - White; Both Sexes; 30 to 34 years
ba_sex0_age30to34,Race Alone - Black or African American; Both Sexes; 30 to 34 years
ia_sex0_age30to34,Race Alone - American Indian and Alaska Native; Both Sexes; 30 to 34 years
aa_sex0_age30to34,Race Alone - Asian; Both Sexes; 30 to 34 years
na_sex0_age30to34,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; 30 to 34 years
tom_sex0_age30to34,Two or More Races; Both Sexes; 30 to 34 years
totpop_sex0_age35to39,Total; Both Sexes; 35 to 39 years
wa_sex0_age35to39,Race Alone - White; Both Sexes; 35 to 39 years
ba_sex0_age35to39,Race Alone - Black or African American; Both Sexes; 35 to 39 years
ia_sex0_age35to39,Race Alone - American Indian and Alaska Native; Both Sexes; 35 to 39 years
aa_sex0_age35to39,Race Alone - Asian; Both Sexes; 35 to 39 years
na_sex0_age35to39,Race Alone - Native Hawaiian and Other Pacific Islander; Both Sexes; 35 to 39 years
