"rowname","age_group","pop_m","pop_m_p","pop_f","pop_f_p","pop_bs","pop_bs_p","males","males_p","females","females_p","unknown","both_sexes","both_sexes_p","date1","country","path1","sheet1","serial_id"
"1","<60",30450818,74.3306751331222,29190949,69.4154538460262,59641767,71.8409207275911,"157",5.88897224306077,50,2.59201658890617,NA,"207",4.50489662676823,"2020-04-21","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",1
"10","Total",40966691,NA,42052522,NA,83019213,NA,"2666",NA,1929,NA,3,"4598",NA,"2020-04-21","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",2
"2","60-69",4987359,12.1741807264834,5315052,12.6390802435107,10302411,12.4096707589844,"306",11.4778694673668,107,5.5469155002592,NA,"413",8.98803046789989,"2020-04-21","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",3
"3","70-79",3503497,8.55206245483678,4182432,9.94573405133704,7685929,9.25801235913908,"740",27.7569392348087,332,17.210990150337,NA,"1072",23.3297062023939,"2020-04-21","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",4
"4","80-89",1817424,4.43634561551481,2776739,6.60302609199039,4594163,5.53385515711887,"1146",42.9857464366091,935,48.4707102125454,NA,"2081",45.2883569096844,"2020-04-21","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",5
"5","90+",207593,0.506736070042855,587350,1.39670576713568,794943,0.957540997166523,"317",11.8904726181545,505,26.1793675479523,NA,"822",17.8890097932535,"2020-04-21","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",6
"7","Total known",40966691,100,42052522,100,83019213,100,"2666",100,1929,100,0,"4595",100,"2020-04-21","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",7
"9","Unknown",NA,NA,NA,NA,NA,NA,"0",NA,0,NA,3,"3",NA,"2020-04-21","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",8
"1","<60",30450818,74.3306751331222,29190949,69.4154538460262,59641767,71.8409207275911,"151",5.90074247753028,50,2.71444082519001,NA,"201",4.56714383094751,"2020-04-20","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",9
"10","Total",40966691,NA,42052522,NA,83019213,NA,"2559",NA,1842,NA,3,"4404",NA,"2020-04-20","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",10
"2","60-69",4987359,12.1741807264834,5315052,12.6390802435107,10302411,12.4096707589844,"296",11.5670183665494,102,5.53745928338762,NA,"398",9.04339922744831,"2020-04-20","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",11
"3","70-79",3503497,8.55206245483678,4182432,9.94573405133704,7685929,9.25801235913908,"715",27.9406017975772,312,16.9381107491857,NA,"1027",23.3356055441945,"2020-04-20","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",12
"4","80-89",1817424,4.43634561551481,2776739,6.60302609199039,4594163,5.53385515711887,"1097",42.8683079327862,903,49.0228013029316,NA,"2000",45.4442172233583,"2020-04-20","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",13
"5","90+",207593,0.506736070042855,587350,1.39670576713568,794943,0.957540997166523,"300",11.7233294255569,475,25.7871878393051,NA,"775",17.6096341740514,"2020-04-20","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",14
"7","Total known",40966691,100,42052522,100,83019213,100,"2559",100,1842,100,0,"4401",100,"2020-04-20","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",15
"9","Unknown",NA,NA,NA,NA,NA,NA,"0",NA,0,NA,3,"3",NA,"2020-04-20","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",16
"1","<60",30450818,74.3306751331222,29190949,69.4154538460262,59641767,71.8409207275911,"148",5.95333869670153,47,2.60387811634349,NA,"195",4.54439524586344,"2020-04-19","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",17
"10","Total",40966691,NA,42052522,NA,83019213,NA,"2486",NA,1805,NA,3,"4294",NA,"2020-04-19","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",18
"2","60-69",4987359,12.1741807264834,5315052,12.6390802435107,10302411,12.4096707589844,"289",11.6251005631537,101,5.59556786703601,NA,"390",9.08879049172687,"2020-04-19","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",19
"3","70-79",3503497,8.55206245483678,4182432,9.94573405133704,7685929,9.25801235913908,"693",27.8761061946903,306,16.9529085872576,NA,"999",23.2812864134234,"2020-04-19","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",20
"4","80-89",1817424,4.43634561551481,2776739,6.60302609199039,4594163,5.53385515711887,"1060",42.6387771520515,888,49.196675900277,NA,"1948",45.3973432766255,"2020-04-19","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",21
"5","90+",207593,0.506736070042855,587350,1.39670576713568,794943,0.957540997166523,"296",11.9066773934031,463,25.6509695290859,NA,"759",17.6881845723608,"2020-04-19","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",22
"7","Total known",40966691,100,42052522,100,83019213,100,"2486",100,1805,100,0,"4291",100,"2020-04-19","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",23
"9","Unknown",NA,NA,NA,NA,NA,NA,"0",NA,0,NA,3,"3",NA,"2020-04-19","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",24
"1","<60",30450818,74.3306751331222,29190949,69.4154538460262,59641767,71.8409207275911,"136",5.71188576228475,44,2.55072463768116,NA,"180",4.38382854359474,"2020-04-18","Germany","./Deaths-Age-Sex_Covid-19_Germany_21-04.xlsx","Daily Report RKI_Data",25
