"reporting_unit","time","central_cases","central_intensity","lo_0_25_cases","hi_0_25_cases","lo_0_5_cases","hi_0_5_cases","lo_0_8_cases","hi_0_8_cases","lo_0_95_cases","hi_0_95_cases","lo_0_25_intensity","hi_0_25_intensity","lo_0_5_intensity","hi_0_5_intensity","lo_0_8_intensity","hi_0_8_intensity","lo_0_95_intensity","hi_0_95_intensity","1pct_cumulative","2_5pct_cumulative","10pct_cumulative","25pct_cumulative","50pct_cumulative","75pct_cumulative","90pct_cumulative","97_5pct_cumulative","99pct_cumulative","dead","country","Expected","mMult","adjustedDead"
"Brazil",2020-01-01,0,0.0197112,0,1,0,1,0,2,0,2,0.0091,0.051,0.0068,0.057,0.0044,0.071,0.0031,0.09,0,0,0,0,0,0,0,0,0,NA,"Brazil",12466.1815892493,0.00470456728801455,NA
"Brazil",2020-01-02,0,0.019965,0,1,0,1,0,1,0,1,0.0094,0.051,0.0071,0.058,0.0048,0.071,0.0033,0.091,0,0,0,0,0,0,0,0,0,NA,"Brazil",12466.1815892493,0.00470456728801455,NA
"Brazil",2020-01-03,0,0.020236,0,1,0,1,0,1,0,2,0.0098,0.051,0.0074,0.058,0.0051,0.071,0.0035,0.091,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-04,0,0.0205802,0,1,0,1,0,2,0,2,0.01,0.051,0.0078,0.058,0.0054,0.071,0.0038,0.091,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-05,0,0.0209505,0,1,0,1,0,1,0,1,0.011,0.052,0.0082,0.059,0.0058,0.072,0.0041,0.091,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-06,0,0.0213717,0,1,0,1,0,1,0,1,0.011,0.052,0.0086,0.059,0.0063,0.072,0.0044,0.092,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-07,0,0.0218448,0,1,0,1,0,2,0,2,0.012,0.052,0.0091,0.059,0.0068,0.073,0.0048,0.092,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-08,0,0.0223645,0,1,0,1,0,2,0,2,0.012,0.053,0.0096,0.06,0.0073,0.074,0.0052,0.093,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-09,0,0.02298,0,1,0,1,0,1,0,1,0.013,0.053,0.01,0.061,0.008,0.074,0.0056,0.093,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-10,0,0.0237288,0,1,0,1,0,2,0,2,0.014,0.053,0.011,0.061,0.0087,0.075,0.0061,0.094,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-11,0,0.0246251,0,1,0,1,0,1,0,2,0.015,0.054,0.011,0.062,0.0094,0.076,0.0067,0.095,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-12,0,0.025527,0,1,0,1,0,2,0,2,0.015,0.055,0.012,0.063,0.01,0.077,0.0073,0.096,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-13,0,0.0265487,0,1,0,1,0,2,0,2,0.016,0.055,0.013,0.064,0.011,0.078,0.0081,0.097,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-14,0,0.0276766,0,1,0,1,0,1,0,1,0.017,0.056,0.014,0.065,0.012,0.079,0.0089,0.098,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-15,0,0.0289407,0,1,0,1,0,2,0,2,0.018,0.057,0.015,0.066,0.013,0.081,0.0098,0.099,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
"Brazil",2020-01-16,0,0.0303994,0,1,0,1,0,2,0,3,0.02,0.059,0.016,0.068,0.014,0.083,0.011,0.1,0,0,0,0,0,0,0,0,0,0,"Brazil",12466.1815892493,0.00470456728801455,0
