"reporting_unit","time","central_intensity","X3","lo_0_25_intensity","hi_0_25_intensity","lo_0_5_intensity","hi_0_5_intensity","lo_0_8_intensity","hi_0_8_intensity","lo_0_95_intensity","hi_0_95_intensity","1pct_cumulative","2_5pct_cumulative","10pct_cumulative","25pct_cumulative","50pct_cumulative","75pct_cumulative","90pct_cumulative","97_5pct_cumulative","99pct_cumulative","dead","country","adjustedDead","1pct_cumulativeRaw","2_5pct_cumulativeRaw","10pct_cumulativeRaw","25pct_cumulativeRaw","50pct_cumulativeRaw","75pct_cumulativeRaw","90pct_cumulativeRaw","97_5pct_cumulativeRaw","99pct_cumulativeRaw"
"Alabama",2020-01-01,0.014755,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-02,0.0147651,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-03,0.0147809,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-04,0.0148194,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-05,0.0148583,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-06,0.014893,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-07,0.0149027,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-08,0.0149042,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-09,0.0149106,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-10,0.014921,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-11,0.014956,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-12,0.014972,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-13,0.0150127,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-14,0.0150654,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-15,0.0151335,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-16,0.0152427,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-17,0.0152848,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-18,0.0153849,3,0.002,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-19,0.0154048,3,0.0021,0.067,0.0011,0.081,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-20,0.0154727,3,0.0021,0.067,0.0011,0.082,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-21,0.0155444,3,0.0021,0.068,0.0011,0.082,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-22,0.0156746,3,0.0021,0.068,0.0011,0.082,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-23,0.0158731,3,0.0021,0.068,0.0011,0.082,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-24,0.0161352,3,0.0021,0.068,0.0011,0.082,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-25,0.0163105,3,0.0021,0.068,0.0011,0.082,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-26,0.0166189,3,0.0021,0.069,0.0011,0.083,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-27,0.0169475,3,0.0021,0.069,0.0011,0.083,0.00075,0.098,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-28,0.017372,3,0.0021,0.069,0.0011,0.083,0.00075,0.099,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-29,0.0178472,3,0.0021,0.07,0.0011,0.084,0.00075,0.099,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-30,0.0181483,3,0.0021,0.07,0.0011,0.084,0.00075,0.099,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-01-31,0.0188581,3,0.0021,0.071,0.0011,0.085,0.00075,0.099,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-01,0.0196991,3,0.0021,0.071,0.0011,0.085,0.00075,0.099,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-02,0.0203928,3,0.0021,0.072,0.0011,0.086,0.00075,0.1,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-03,0.0214667,3,0.0021,0.073,0.0011,0.087,0.00075,0.1,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-04,0.0221478,3,0.0022,0.074,0.0011,0.088,0.00075,0.1,0.00029,0.12,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-05,0.0234238,3,0.0022,0.075,0.0011,0.089,0.00075,0.1,0.00029,0.13,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-06,0.0244139,3,0.0022,0.076,0.0011,0.091,0.00075,0.1,0.00029,0.13,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-07,0.025465,3,0.0022,0.078,0.0011,0.092,0.00075,0.11,3e-04,0.13,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-08,0.0264887,3,0.0023,0.079,0.0011,0.094,0.00075,0.11,3e-04,0.14,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-09,0.0276439,3,0.0023,0.082,0.0011,0.096,0.00075,0.11,3e-04,0.14,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-10,0.0287965,3,0.0024,0.084,0.0011,0.099,0.00075,0.12,0.00031,0.15,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-11,0.0304411,3,0.0024,0.087,0.0011,0.1,0.00075,0.12,0.00031,0.16,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-12,0.0322418,3,0.0024,0.09,0.0011,0.11,0.00075,0.13,0.00031,0.16,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-13,0.0337966,3,0.0024,0.094,0.0011,0.11,0.00075,0.13,0.00031,0.17,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-14,0.0359062,3,0.0025,0.098,0.0011,0.12,0.00075,0.14,0.00031,0.18,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-15,0.0379668,3,0.0025,0.1,0.0012,0.12,0.00075,0.15,0.00031,0.19,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
"Alabama",2020-02-16,0.0407561,3,0.0026,0.11,0.0012,0.13,0.00075,0.16,0.00031,0.2,0,0,0,0,0,0,0,0,0,NA,"United States",NA,0,0,0,0,0,0,0,0,0
